imobiliaria,link,data_coleta,titulo,endereco,bairro,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16583001/apartamento-2-quartos-porto-principe-vila-izabel-curitiba/,2023-11-05,Apartamento 2 Quartos Vila Izabel 70m²,"Rua Tabajaras, 1241, Vila Izabel - Curitiba/Pr",Vila Izabel,Aluguel,1690,360,93,2,1,70m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15537001/apartamento-2-quartos-soleil-curitibano-vila-izabel-curitiba/,2023-11-05,Apartamento 2 Quartos Vila Izabel 70m²,"Rua Eurides Cunha, 85, Vila Izabel - Curitiba/Pr",Vila Izabel,Aluguel,3200,560,147,2,1,70m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12831015/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,2023-11-05,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Alto Da Gloria,Aluguel,1550,200,39,1,0,37m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12831012/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,2023-11-05,Apartamento 1 Quarto Alto Da Gloria 35m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Alto Da Gloria,Aluguel,1550,200,39,1,0,35m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12831013/apartamento-1-quarto-itupava_-dona-dulce-alto-da-gloria-curitiba/,2023-11-05,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Alto Da Gloria,Aluguel,1550,200,39,1,0,37m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12831021/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,2023-11-05,Apartamento 1 Quarto Alto Da Gloria 40m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Alto Da Gloria,Aluguel,1550,200,39,1,0,40m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12831008/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,2023-11-05,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Alto Da Gloria,Aluguel,1550,200,39,1,0,37m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12831026/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,2023-11-05,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Alto Da Gloria,Aluguel,1500,170,39,1,0,37m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12831014/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,2023-11-05,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Alto Da Gloria,Aluguel,1500,170,39,1,0,37m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12643019/apartamento-3-quartos-kalina-alto-da-rua-xv-curitiba/,2023-11-05,Apartamento 3 Quartos Alto Da Rua Xv 149m²,"Rua Jose De Alencar, 1199, Alto Da Rua Xv - Curitiba/Pr",Alto Da Rua Xv,Aluguel,2300,450,151,3,1,149m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/07184001/apartamento-1-quarto-victoria-place-residence-alto-da-rua-xv-curitiba/,2023-11-05,Apartamento 1 Quarto Alto Da Rua Xv 85m²,"Rua Ubaldino Do Amaral, 337, Alto Da Rua Xv - Curitiba/Pr",Alto Da Rua Xv,Aluguel,1500,750,58,1,0,85m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/07544002/apartamento-3-quartos-residencial-cosmos-–-edificio-newton-alto-da-rua-xv-curitiba/,2023-11-05,Apartamento 3 Quartos Alto Da Rua Xv 110m²,"Rua Schiller, 555, Alto Da Rua Xv - Curitiba/Pr",Alto Da Rua Xv,Aluguel,1600,850,119,3,1,110m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/14967001/apartamento-4-quartos-solar-das-araucarias-batel-curitiba/,2023-11-05,Apartamento 4 Quartos Batel 202m²,"Avenida Sete De Setembro, 5522, Batel - Curitiba/Pr",Batel,Aluguel,2800,1350,242,4,1,202m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/75041002/apartamento-2-quartos-rubens-bailao-leite-batel-curitiba/,2023-11-05,Apartamento 2 Quartos Batel 70m²,"Avenida Sete De Setembro, 4500, Batel - Curitiba/Pr",Batel,Aluguel,2800,604,123,2,1,70m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/66991001/apartamento-3-quartos-edificio-por-do-sol-batel-curitiba/,2023-11-05,Apartamento 3 Quartos Batel 226m²,"Avenida Visconde De Guarapuava, 5085, Batel - Curitiba/Pr",Batel,Aluguel,7500,3000,616,3,2,226m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12739002/apartamento-1-quarto-paloma-picasso-bigorrilho-curitiba/,2023-11-05,Apartamento 1 Quarto Bigorrilho 23m²,"Rua Padre Anchieta, 1968, Bigorrilho - Curitiba/Pr",Bigorrilho,Aluguel,850,500,41,1,0,23m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16413001/apartamento-3-quartos-edificio-pitagoras-bigorrilho-curitiba/,2023-11-05,Apartamento 3 Quartos Bigorrilho 215m²,"Rua Euclides Da Cunha, 1150, Bigorrilho - Curitiba/Pr",Bigorrilho,Aluguel,6800,1972,645,3,4,215m²,3
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/91407002/apartamento-3-quartos-placido-antonio-simeoni-bigorrilho-curitiba/,2023-11-05,Apartamento 3 Quartos Bigorrilho 90m²,"Alameda Augusto Stellfeld, 1702, Bigorrilho - Curitiba/Pr",Bigorrilho,Aluguel,2400,650,101,3,1,90m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16602001/apartamento-3-quartos-ilha-de-maraca-bigorrilho-curitiba/,2023-11-05,Apartamento 3 Quartos Bigorrilho 83m²,"Rua Coronel Joaquim Ignácio Taborda Ribas, 474, Bigorrilho - Curitiba/Pr",Bigorrilho,Aluguel,2500,542,153,3,1,83m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15725001/apartamento-3-quartos-residencial-aconcagua-bigorrilho-curitiba/,2023-11-05,Apartamento 3 Quartos Bigorrilho 73m²,"Rua Gastão Câmara, 540, Bigorrilho - Curitiba/Pr",Bigorrilho,Aluguel,2100,500,91,3,1,73m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/49109001/apartamento-2-quartos-tijucas-centro-curitiba/,2023-11-05,Apartamento 2 Quartos Centro 42m²,"Avenida Luiz Xavier, 68, Centro - Curitiba/Pr",Centro,Aluguel,1300,450,29,2,0,42m²,0
